"product_id","nb_reviews","average_rating","oldest_rating","newest_rating","snapshot_date"
"B00002STXQ",18,"5.00","5.00","5.00","2026-05-16"
"B00KAED7OC",19,"5.00","5.00","5.00","2026-05-16"
"B014P7QI6I",19,"5.00","5.00","5.00","2026-05-16"
"B00O9GW8VK",26,"5.00","5.00","5.00","2026-05-16"
"B01BHMS88A",32,"5.00","5.00","5.00","2026-05-16"
"B01AVLWBY0",13,"5.00","5.00","5.00","2026-05-14"
"B01D014G9Q",13,"5.00","5.00","5.00","2026-05-14"
"B00000F1GM",14,"5.00","5.00","5.00","2026-05-14"
"B01GW8ZA9Y",15,"5.00","5.00","5.00","2026-05-14"
"B00003OTI3",15,"5.00","5.00","5.00","2026-05-14"
"B00U6DTGP6",15,"5.00","5.00","5.00","2026-05-14"
"B000ERVMI8",15,"5.00","5.00","5.00","2026-05-14"
"B01GWGXHKK",15,"5.00","5.00","5.00","2026-05-14"
"B019J6RYCW",17,"5.00","5.00","5.00","2026-05-14"
"B00BAWXD88",18,"5.00","5.00","5.00","2026-05-14"
"B00002STXQ",18,"5.00","5.00","5.00","2026-05-14"
"B014P7QI6I",19,"5.00","5.00","5.00","2026-05-14"
"B00KAED7OC",19,"5.00","5.00","5.00","2026-05-14"
"B00O9GW8VK",26,"5.00","5.00","5.00","2026-05-14"
"B01BHMS88A",32,"5.00","5.00","5.00","2026-05-14"
"B00F2V7BKE",12,"5.00","5.00","5.00","2026-05-13"
"B01AVLWBY0",13,"5.00","5.00","5.00","2026-05-13"
"B01D014G9Q",13,"5.00","5.00","5.00","2026-05-13"
"B00000F1GM",14,"5.00","5.00","5.00","2026-05-13"
"B01GWGXHKK",15,"5.00","5.00","5.00","2026-05-13"
"B00003OTI3",15,"5.00","5.00","5.00","2026-05-13"
"B00U6DTGP6",15,"5.00","5.00","5.00","2026-05-13"
"B019J6RYCW",17,"5.00","5.00","5.00","2026-05-13"
"B000ERVMI8",17,"5.00","5.00","5.00","2026-05-13"
"B00BAWXD88",18,"5.00","5.00","5.00","2026-05-13"
"B00002STXQ",18,"5.00","5.00","5.00","2026-05-13"
"B014P7QI6I",19,"5.00","5.00","5.00","2026-05-13"
"B00KAED7OC",19,"5.00","5.00","5.00","2026-05-13"
"B00O9GW8VK",26,"5.00","5.00","5.00","2026-05-13"
"B01BHMS88A",33,"5.00","5.00","5.00","2026-05-13"
"B0072I2240",12,"5.00","5.00","5.00","2026-05-12"
"B01D014G9Q",13,"5.00","5.00","5.00","2026-05-12"
"B01AVLWBY0",13,"5.00","5.00","5.00","2026-05-12"
"B00000F1GM",14,"5.00","5.00","5.00","2026-05-12"
"B00003OTI3",15,"5.00","5.00","5.00","2026-05-12"
"B01GWGXHKK",15,"5.00","5.00","5.00","2026-05-12"
"B00U6DTGP6",16,"5.00","5.00","5.00","2026-05-12"
"B019J6RYCW",17,"5.00","5.00","5.00","2026-05-12"
"B000ERVMI8",17,"5.00","5.00","5.00","2026-05-12"
"B00002STXQ",18,"5.00","5.00","5.00","2026-05-12"
